553fb25d19043c0b29be84a5,The Neptune Theatre,Nico & Vinz,Rap/Hip Hop,6/2/2015 8:00pm,6/2/2015 11:00pm,start,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb25d19043c0b29be84a5,The Neptune Theatre,Bootsy Collins,RnB/Soul,6/22/2015 8:00pm,6/22/2015 11:00pm,start,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb27c19043c0b29be84a6,Moore Theatre,Drive By Truckers,Alternative,4/28/2015 8:00pm,4/28/2015 11:00pm,start,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb27c19043c0b29be84a6,Moore Theatre,Nick Offerman & Megan Mullally,Comedy,5/1/2015 7:00pm,5/2/2015 9:00pm,start,"55352fda846af9640a518a05,55352fda846af9640a518a09"
553fb27c19043c0b29be84a6,Moore Theatre,Nick Offerman & Megan Mullally,Comedy,5/1/2015 9:30pm,5/2/2015 11:30pm,start,"55352fda846af9640a518a05,55352fda846af9640a518a09"
553fb27c19043c0b29be84a6,Moore Theatre,Jim Jefferies,Comedy,5/27/2015 8:00pm,5/27/2015 11:00pm,start,"55352fda846af9640a518a05,55352fda846af9640a518a09"
553fb27c19043c0b29be84a6,Moore Theatre,Tyler Oakley,Other,6/6/2015 8:00pm,6/6/2015 11:00pm,start,"553d23a4b294237cdf412333,553d2375b294237cdf412332"
553fb27c19043c0b29be84a6,Moore Theatre,Steven Wilson,Pop/Rock Concert,6/17/2015 8:00pm,6/17/2015 11:00pm,start,"55352fda846af9640a518a05,55352fda846af9640a518a09"
553fb28419043c0b29be84a7,El Corazon,Prawn/Frameworks,Indie/Post Rock $10,4/27/2015 7:00pm,4/27/2015 9:30pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb28419043c0b29be84a7,El Corazon,America Standards,$8 ,4/28/2015 7:00pm,4/28/2015 11:30pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb28419043c0b29be84a7,El Corazon,Orgy,$17 ,4/28/2015 7:00pm,4/28/2015 11:30pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb28419043c0b29be84a7,El Corazon,Lago,$8 ,4/29/2015 7:00pm,4/29/2015 10:00pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb28419043c0b29be84a7,El Corazon,"Wayne ""The Train"" Hancock",$15 ,4/29/2015 7:00pm,4/29/2015 10:00pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb28419043c0b29be84a7,El Corazon,Las Robertas (Costa Rica),$8 ,4/30/2015 8:00pm,4/30/2015 11:00pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb28419043c0b29be84a7,El Corazon,Children of Seraph,$8 ,5/2/2015 7:00pm,5/2/2015 10:00pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb28419043c0b29be84a7,El Corazon,Jake E. Lee's Red Dragon Cartel,$20 ,5/2/2015 7:00pm,5/2/2015 10:00pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb28419043c0b29be84a7,El Corazon,Madrost/Brain Dead,$8 ,5/3/2015 7:00pm,5/3/2015 9:00pm,start,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb28419043c0b29be84a7,El Corazon,It Lies Within,$10 ,5/4/2015 7:00pm,5/4/2015 9:00pm,start,"55352fda846af9640a518a04,55352fda846af9640a518a05"
