5535547ac827d9160e64cb63,Bellingham Bar and Grill,Progressive Wells,DOUBLE well drinks start at $1.50 at 9pm and increase $0.50 every half and hour until close.,4/22/2015 9:00pm,4/23/2015 12:00am,end,55352fda846af9640a518a05,weekly
5535547ac827d9160e64cb63,Bellingham Bar and Grill,Late Night Drink Specials,9pm-Close<br />$2.50 Well drinks<br />$3.00 Fireball shots<br />$4.00 Washington Apple shooter<br />$5.00 Long Island Iced Tea,4/24/2015 9:00pm,4/25/2015 12:00am,end,55352fda846af9640a518a05,weekly
55355487c827d9160e64cb64,Honey Moon Mead & Cider,The Shadies,“Old Time.  Older than you.”   The Shadies make it hard not to get up and square dance.,4/21/2015 8:30pm,4/21/2015 10:45pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05",
55355487c827d9160e64cb64,Honey Moon Mead & Cider,Open Mic w/ Tad Kroening – every Wed night,Show is at 8:30; come in or call in at 5pm to sign up.   All kinds of performers welcome!,4/22/2015 8:30pm,4/22/2015 11:30pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05",weekly
55355487c827d9160e64cb64,Honey Moon Mead & Cider,"Nuages, Ranger & the Re Arrangers","Seattle Gypsy jazz band Ranger and the “Re-Arrangers” evoke the spirit of a Paris cafe and the raucous energy of a Gypsy campsite with their unique twist on Gypsy jazz.  “At the heart of their sound is Ranger Sciacca’s sweet violin playing… his sense of melody and daring improvisations” (World Rhythm Webzine).  The band’s repertoire includes swing standards, traditional Gypsy melodies, the music of Django Reinhardt, and Ranger’s unique originals.",4/23/2015 8:30pm,4/23/2015 11:30pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05",
55355487c827d9160e64cb64,Honey Moon Mead & Cider,Gentri Watson,Charming country singer-songwriter from Bellingham by way of Utah.<br />http://www.reverbnation.com/gentriwatson,4/24/2015 8:30pm,4/24/2015 11:30pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05",
55355487c827d9160e64cb64,Honey Moon Mead & Cider,Bilongo Quintet,"Bilongo Quintet plays a variety of African-inspired music: jazz, African, Latin, New Orleans… all very groove oriented. John Meloy on tenor saxophone, Adrian Clarke – guitar, Roger Yamashita – acoustic bass, John Butorac – congas, Steve Jones – cajon & bongos.",4/25/2015 8:30pm,4/25/2015 11:30pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05",
55355495c827d9160e64cb65,The Green Frog,Margarita Monday!,"We slice and squeeze fresh lime, add tequila and triple sec. You do the rest! $4 glasses of deliciousness! ",4/20/2015 4:00pm,4/20/2015 7:00pm,end,"55352fda846af9640a518a05,55352fda846af9640a518a06",weekly
55355495c827d9160e64cb65,The Green Frog,Open Mic hosted by Trace Rezidoux,Weekly at 7pm on Monday ,4/20/2015 7:00pm,4/20/2015 9:00pm,end,"55352fda846af9640a518a05,55352fda846af9640a518a06,55352fda846af9640a518a04",weekly
55355495c827d9160e64cb65,The Green Frog,Guffawingham!...the comedian's open mic.,"A free event showcasing local stand up comics as they exercise their First Amendment rights. Everyone is welcome to sign up and participate in this night of entertainment and laughter. It is, after all, Guffawingham! ",4/20/2015 9:00pm,4/20/2015 11:30pm,end,"55352fda846af9640a518a09,55352fda846af9640a518a05,55352fda846af9640a518a06",weekly
